Asset,Covariance_Diagonal,Expected_Return_Penalty,Downside_Risk_Penalty,Total_Linear_Term
INDRAMEDCO,0.1297662547911532,-0.07210855158267368,0.06620279383909301,-0.005905757743580667
INDTERRAIN,0.3095045451434606,-0.0946616814142597,0.1097253118129274,0.015063630398667704
INDUSINDBK,0.1578053723597269,-0.12435877095819002,0.08415520836653363,-0.04020356259165639
INFY,0.080125781345573,-0.10998535939019538,0.0622235758148047,-0.04776178357539068
INGERRAND,0.11217362148228173,-0.14741197588374488,0.0648065864002662,-0.08260538948347869
INSECTICID,0.14242965832885918,-0.10366481197071692,0.07572608045686081,-0.027938731513856105
INVENTURE,0.38458499379689276,0.08446386312027532,0.12789220880669058,0.2123560719269659
IOC,0.12472386157895805,-0.03964210182896753,0.07541240949495122,0.035770307665983686
IRB,0.24974680222554912,-0.03419251887041088,0.10536518951245048,0.07117267064203961
ISFT,0.28317037929945094,-0.04436340508878485,0.10978521350012145,0.0654218084113366
ITC,0.06494515279000092,-0.10118425122442024,0.05462604189178543,-0.046558209332634805
ITI,0.3024512289407499,-0.08613209623280198,0.10011960726631106,0.013987511033509079
IVC,0.21883040209397372,0.10185112226962595,0.09281845870859282,0.19466958097821876
IZMO,0.3660309645892444,-0.14210053137328768,0.117202137442321,-0.024898393930966684
J&KBANK,0.19324724606755628,0.04403950858543644,0.08865886851882908,0.13269837710426552
JAICORPLTD,0.29013380980893,0.027312430084544245,0.10570344646422702,0.13301587654877128
JAMNAAUTO,0.21387418074770512,-0.17240879027738576,0.08801383853688043,-0.08439495174050533
JAYAGROGN,0.22043915911594583,-0.11122733254399715,0.0872207078978582,-0.024006624646138952
JAYBARMARU,0.2572009923385663,-0.10977781453271179,0.09616288149516453,-0.013614933037547267
JAYNECOIND,0.3234187143159738,0.006040294111463255,0.117674369238298,0.12371466334976125
JAYSREETEA,0.16645113707257847,0.05443593035350523,0.07977997208808528,0.1342159024415905
JBCHEPHARM,0.12728476974733247,-0.25862553696205937,0.06855014003157098,-0.1900753969304884
JINDALSTEL,0.256646092863343,0.01277840375140739,0.10851870159114786,0.12129710534255525
JINDRILL,0.22054716253064063,0.03930361633418693,0.08815612996228683,0.12745974629647377
JINDWORLD,0.35157556314134425,-0.19148076904239986,0.11247954842056769,-0.07900122062183217
JISLDVREQS,0.22112552892270831,0.14451307744603079,0.09953972149722405,0.24405279894325482
JISLJALEQS,0.27377441578203415,0.163724776706506,0.11348037690730875,0.27720515361381476
JKCEMENT,0.12428295154477832,-0.2577813078245119,0.06734563136970147,-0.19043567645481047
JKIL,0.2027150306367524,-0.10820180895005488,0.09283458887966718,-0.015367220070387697
JKLAKSHMI,0.14737993722332743,-0.22934423595482933,0.07359285161698531,-0.15575138433784402
JKTYRE,0.19603491252314034,-0.18126215573790894,0.08544036828844694,-0.095821787449462
JMFINANCIL,0.2209355317725804,-0.08646369601941233,0.09321057841914822,0.006746882399735893
JOCIL,0.21049890496714235,-0.01551618175126052,0.08921268460818978,0.07369650285692926
