Asset,Downside_Risk_Annual
ICIL,0.3901015420626183
ICRA,0.17529728400156636
IDBI,0.30965240378872655
IFBAGRO,0.3190132047741812
IFBIND,0.31471816665555535
IFCI,0.3308460146622938
IGL,0.238248687590658
IGPL,0.36986893041901103
IIFL,0.38044260207450037
IITL,0.34965030122670715
IL&FSENGG,0.3636384662512417
IMFA,0.32720577985269755
IMPAL,0.20042667151304067
INDBANK,0.36045775190401735
INDIACEM,0.3156997952647856
INDIANB,0.3030676250655283
INDORAMA,0.34540269300366067
INDOTECH,0.3350805731197767
INDOWIND,0.39712605749535956
INDRAMEDCO,0.2206759794636434
INDTERRAIN,0.36575103937642467
INDUSINDBK,0.2805173612217788
INFY,0.20741191938268233
INGERRAND,0.21602195466755397
INSECTICID,0.25242026818953606
INVENTURE,0.4263073626889686
IOC,0.25137469831650405
IRB,0.35121729837483495
ISFT,0.3659507116670715
ITC,0.18208680630595145
ITI,0.33373202422103687
IVC,0.30939486236197605
IZMO,0.39067379147440334
J&KBANK,0.2955295617294303
JAICORPLTD,0.3523448215474234
JAMNAAUTO,0.29337946178960145
JAYAGROGN,0.2907356929928607
JAYBARMARU,0.3205429383172151
JAYNECOIND,0.3922478974609933
JAYSREETEA,0.2659332402936176
JBCHEPHARM,0.22850046677190325
JINDALSTEL,0.36172900530382623
JINDRILL,0.29385376654095613
JINDWORLD,0.37493182806855896
JISLDVREQS,0.3317990716574135
JISLJALEQS,0.3782679230243625
JKCEMENT,0.2244854378990049
JKIL,0.30944862959889063
JKLAKSHMI,0.24530950538995103
JKTYRE,0.28480122762815646
JMFINANCIL,0.3107019280638274
JOCIL,0.2973756153606326
JPASSOCIAT,0.4418422609120244
JPPOWER,0.40896730510887125
JTEKTINDIA,0.29606615712320933
JUBLFOOD,0.262201576455162
JUBLPHARMA,0.29980562607585276
JWL,0.3769350135737104
JYOTISTRUC,0.4742268173845694
KAJARIACER,0.21162212799716273
KAKATCEM,0.29895414197480297
KANANIIND,0.434372806915915
KANORICHEM,0.3110033304937856
KARMAENG,0.4429519811624217
KAUSHALYA,0.46051735414034856
KAVDEFENCE,0.41128781524084074
KCP,0.2835130559462132
KCPSUGIND,0.304754470379026
KECL,0.35514429029334155
KEI,0.2985867326537503
KICL,0.28079820705082204
KIRLOSBROS,0.28790620871244965
KIRLOSENG,0.24316225773566819
KIRLOSIND,0.26351050004623117
KKCL,0.2099971688509435
KMSUGAR,0.40980785093547034
KNRCON,0.27495600683367516
KOHINOOR,0.3191298391374123
KOKUYOCMLN,0.29913524300804356
KOLTEPATIL,0.3228813915186258
KOPRAN,0.3514189807141321
KOTARISUG,0.364032435118883
KOTHARIPET,0.3517767903038902
KPRMILL,0.2506341819299556
KRBL,0.325334274770077
KSCL,0.2618092469093618
KTKBANK,0.27503180999001364
LGBBROSLTD,0.2564113628053228
LINDEINDIA,0.24935019817962153
LOKESHMACH,0.3323106886245976
LOTUSEYE,0.35532559792584
LOVABLE,0.30431252205231785
LPDC,0.4181052756620059
LT,0.1983614003935808
LTFOODS,0.2999107059045973
LUMAXTECH,0.2912445649238782
LYKALABS,0.3622988941184761
M&M,0.20646513847177095
M&MFIN,0.30062900720304353
MAANALU,0.3960459122229554
MADHAV,0.33906875588504926
MADHUCON,0.3835208459885957
MAHABANK,0.24456966585373766
MANAKSIA,0.28988454494091637
MANALIPETC,0.3102345405446645
MANAPPURAM,0.34881723767407075
MANGLMCEM,0.2729644586454659
MANINFRA,0.30354252162114076
MANUGRAPH,0.3466104788659569
MARALOVER,0.3742278225810316
MARKSANS,0.3691521797121735
MARUTI,0.19940835786328157
MASTEK,0.4388190466831734
MAWANASUG,0.3931267947069544
MAYURUNIQ,0.21936559150961338
MBLINFRA,0.3620544199556497
MCLEODRUSS,0.3265259863151955
MFSL,0.27908586861350754
MHRIL,0.22822311914543367
MINDACORP,0.5572236471120594
MIRCELECTR,0.37907103697656064
MIRZAINT,0.32161743349016025
MMFL,0.2719251807519646
MMTC,0.3120376800552354
MOIL,0.20963910618686302
MORARJEE,0.38175346244230796
MOREPENLAB,0.36879345038508143
MOTHERSON,0.2894686793207641
MOTILALOFS,0.2603401195602693
MPSLTD,0.276216929492508
MRPL,0.2946068332029478
MSPL,0.3641472117966015
MTNL,0.3486501138531312
MUKANDLTD,0.32496723385557685
MUKTAARTS,0.36454514761810536
MUNJALAU,0.28443412719783323
MUNJALSHOW,0.24171124471791608
NAGAFERT,0.2828979021375985
NAGREEKEXP,0.41121249825304834
NAHARINDUS,0.33107742490802217
NAHARPOLY,0.3644863996382164
NATCOPHARM,0.2355974950585808
NATIONALUM,0.28455837930681027
NAVINFLUOR,0.24075499558826713
NAVNETEDUL,0.20032994865825593
NBCC,0.2861904177206738
NDLVENTURE,0.5962034691188911
NDTV,0.3381215505106657
NECLIFE,0.3548131023764152
NELCAST,0.3175730173752554
NELCO,0.32347114012272415
NESCO,0.19622614712322173
NETWORK18,0.32624121676960555
NEULANDLAB,0.3376989718778783
NFL,0.29912772988674236
NHPC,0.2130056085903495
NIITLTD,0.29154954202267097
NILKAMAL,0.24437014665393586
NITCO,0.37394962053927416
NLCINDIA,0.24229339768895022
NOCIL,0.28736291971856187
NOIDATOLL,0.29918981873592554
NRBBEARING,0.27917872780757486
OBEROIRLTY,0.2534120308159124
OFSS,0.2006932753056222
OIL,0.2406468547813293
OILCOUNTUB,0.34402634117862296
OMAXE,0.20412937404425238
OMINFRAL,0.42193465465901836
ONMOBILE,0.37215261063820126
ORIENTCER,0.30744309746626797
ORIENTHOT,0.2767364160369003
ORIENTPPR,0.3706387811974704
ORISSAMINE,0.29118385247329776
PAGEIND,0.21036957116622093
PAISALO,0.3115915041356844
PANAMAPET,0.3128056910897514
PARSVNATH,0.3658245231275557
PATINTLOG,0.3968609275250355
PCBL,0.3105615613865563
PENIND,0.301439237180412
PENINLAND,0.36031384298778535
