Asset,Expected_Return_Annual
MTNL,-0.07337561767761451
MUKANDLTD,0.09489560875674896
MUKTAARTS,0.027949345886119616
MUNJALAU,0.11336838109143728
MUNJALSHOW,0.05251065772545946
NAGAFERT,-0.09655572262374304
NAGREEKEXP,0.01937085727254988
NAHARINDUS,0.042445253882194806
NAHARPOLY,0.18086946048639946
NATCOPHARM,0.20089221166873011
NATIONALUM,-0.031308325202906315
NAVINFLUOR,0.37592878053041506
NAVNETEDUL,0.04693054291512789
NBCC,0.1443843227880368
NDLVENTURE,-0.05060261532682385
NDTV,0.09664478446874906
NECLIFE,-0.030237523044950913
NELCAST,0.1525298030769772
NELCO,0.1760811733506446
NESCO,0.14006968270277748
NETWORK18,-0.09272702182840448
NEULANDLAB,0.23410982960197046
NFL,-0.033040078539274306
NHPC,0.04638171079834774
NIITLTD,0.1667928960587196
NILKAMAL,0.15456796729504002
NITCO,-0.10209437779645723
NLCINDIA,-0.020973700414154542
NOCIL,0.21389287612919092
NOIDATOLL,-0.11569693031405269
NRBBEARING,0.09500011497443511
OBEROIRLTY,0.10515713612611498
OFSS,0.053809411437836234
OIL,-0.0024328750285303367
OILCOUNTUB,-0.12927830341187935
OMAXE,-0.05438889749517953
OMINFRAL,-0.009421465562277862
ONMOBILE,-0.0461885361023714
ORIENTCER,0.05605892291282549
ORIENTHOT,0.08458126560941331
ORIENTPPR,0.15658069636969438
ORISSAMINE,-0.05257731888614424
PAGEIND,0.2676970758958755
PAISALO,0.09186164705504804
PANAMAPET,0.1935206357741435
PARSVNATH,-0.12970784241188588
PATINTLOG,0.010957215914600839
PCBL,0.17895035952614488
PENIND,0.038062798087939276
PENINLAND,-0.12681172992056963
PETRONET,0.12355517946364805
PFC,0.024752717316145034
PFIZER,0.11659327878481016
PFS,-0.04638829526586724
PGHL,0.18335281307223564
PGIL,0.185625369103409
PIDILITIND,0.2403807474072925
PIIND,0.3169419215618692
PIONEEREMB,0.041715655208283665
PITTIENG,0.22771128002571617
PLASTIBLEN,0.11275792650374929
PNB,-0.1272183049661059
PNBGILTS,0.09922730882075634
POLYMED,0.28866408846296865
POLYPLEX,0.15990498196422592
PONNIERODE,0.12896273029507538
POONAWALLA,0.13264955763299346
POWERGRID,0.09798951988345729
PPAP,0.053330030112160066
PRAENG,-0.012676768114397738
PRAKASH,-0.0313786226811052
PRAKASHSTL,-0.09505209482074989
PRECWIRE,0.18282983912340442
PRESTIGE,0.10722989291527213
PTC,0.005149993797315658
PTL,0.1476796990834376
PUNJABCHEM,0.19374637890998764
PVRINOX,0.2323984464182396
RADICO,0.18191412381625569
RAIN,0.13951951032331836
RAJESHEXPO,0.1363846364782839
RAJSREESUG,-0.022435238299386897
RAJTV,0.0872061338827424
RALLIS,0.037035144062881394
RAMANEWS,-0.03985849902731697
RAMCOCEM,0.1728599259978443
RAMCOSYS,0.07165673142232896
RAMKY,0.006970455899890512
RANASUG,0.1163248088194867
RATNAMANI,0.2726180094958607
RAYMOND,0.12585648847437683
RCF,0.019115745684782286
RECLTD,0.026456355035304198
REDINGTON,0.12401474238649193
RELAXO,0.33738073613640346
RELIANCE,0.12682440993715377
RENUKA,-0.04074466668936257
REPRO,0.12159637077964666
RGL,0.14550228319893752
RICOAUTO,0.1160118997557629
RIIL,0.01855295703370948
