,Expected_Return,Downside_Risk
JAICORPLTD,-0.027312430084544245,0.3523448215474234
JAMNAAUTO,0.17240879027738576,0.29337946178960145
JAYAGROGN,0.11122733254399715,0.2907356929928607
JAYBARMARU,0.10977781453271179,0.3205429383172151
JAYNECOIND,-0.006040294111463255,0.3922478974609933
JAYSREETEA,-0.05443593035350523,0.2659332402936176
JBCHEPHARM,0.25862553696205937,0.22850046677190325
JINDALSTEL,-0.01277840375140739,0.36172900530382623
JINDRILL,-0.03930361633418693,0.29385376654095613
JINDWORLD,0.19148076904239986,0.37493182806855896
JISLDVREQS,-0.14451307744603079,0.3317990716574135
JISLJALEQS,-0.163724776706506,0.3782679230243625
JKCEMENT,0.2577813078245119,0.2244854378990049
JKIL,0.10820180895005488,0.30944862959889063
JKLAKSHMI,0.22934423595482933,0.24530950538995103
JKTYRE,0.18126215573790894,0.28480122762815646
JMFINANCIL,0.08646369601941233,0.3107019280638274
JOCIL,0.01551618175126052,0.2973756153606326
JPASSOCIAT,-0.1993767568575625,0.4418422609120244
JPPOWER,-0.15914294226785036,0.40896730510887125
JTEKTINDIA,0.15907482333989106,0.29606615712320933
JUBLFOOD,0.17617967098899842,0.262201576455162
JUBLPHARMA,0.052497440984943994,0.29980562607585276
JWL,0.1007084746471047,0.3769350135737104
JYOTISTRUC,-0.20960614130305652,0.4742268173845694
KAJARIACER,0.2896262601440766,0.21162212799716273
KAKATCEM,0.0840425378882237,0.29895414197480297
KANANIIND,-0.11133070826779444,0.434372806915915
KANORICHEM,0.1286261164456215,0.3110033304937856
KARMAENG,0.03393901574213665,0.4429519811624217
KAUSHALYA,-0.09015028103326939,0.46051735414034856
KAVDEFENCE,-0.24312320307868146,0.41128781524084074
KCP,0.11263456500777559,0.2835130559462132
KCPSUGIND,0.030907467782943364,0.304754470379026
KECL,0.03710190967120662,0.35514429029334155
KEI,0.36481622162443345,0.2985867326537503
KICL,0.06974193751336277,0.28079820705082204
KIRLOSBROS,0.09635555525013925,0.28790620871244965
KIRLOSENG,0.07791637113118056,0.24316225773566819
KIRLOSIND,0.15828773969599286,0.26351050004623117
KKCL,0.12139718088726195,0.2099971688509435
KMSUGAR,0.16031131778964883,0.40980785093547034
KNRCON,0.2746759228108146,0.27495600683367516
KOHINOOR,0.0011859929561301285,0.3191298391374123
KOKUYOCMLN,0.03196648709918142,0.29913524300804356
KOLTEPATIL,0.15932578412785947,0.3228813915186258
KOPRAN,0.12069366250040282,0.3514189807141321
KOTARISUG,0.14606483056788727,0.364032435118883
KOTHARIPET,0.19447166273880298,0.3517767903038902
KPRMILL,0.2974230470351448,0.2506341819299556
KRBL,0.21872459899348648,0.325334274770077
KSCL,0.1736327351945089,0.2618092469093618
KTKBANK,0.06696318755284521,0.27503180999001364
LGBBROSLTD,0.2034616400400599,0.2564113628053228
LINDEINDIA,0.22648493124547764,0.24935019817962153
LOKESHMACH,0.0853084028402222,0.3323106886245976
LOTUSEYE,0.141795650843718,0.35532559792584
LOVABLE,-0.0728471371462695,0.30431252205231785
LPDC,0.0572899817429853,0.4181052756620059
LT,0.09551706867634989,0.1983614003935808
LTFOODS,0.2572934395411125,0.2999107059045973
LUMAXTECH,0.193598259970524,0.2912445649238782
LYKALABS,0.12767870817730123,0.3622988941184761
M&M,0.10638938241947969,0.20646513847177095
M&MFIN,0.08752899959019451,0.30062900720304353
MAANALU,0.2482672049218234,0.3960459122229554
MADHAV,0.05706881743365221,0.33906875588504926
MADHUCON,-0.26264373403601815,0.3835208459885957
MAHABANK,-0.06922020943173353,0.24456966585373766
MANAKSIA,0.10031364714518283,0.28988454494091637
MANALIPETC,0.14081588870401757,0.3102345405446645
MANAPPURAM,0.05296272415800135,0.34881723767407075
MANGLMCEM,0.07197319026039666,0.2729644586454659
MANINFRA,0.1188311289750857,0.30354252162114076
MANUGRAPH,-0.10521926623123143,0.3466104788659569
MARALOVER,0.10810956417082382,0.3742278225810316
MARKSANS,0.27655292652226116,0.3691521797121735
MARUTI,0.16202258470726802,0.19940835786328157
MASTEK,0.3069940791271315,0.4388190466831734
MAWANASUG,0.11403381908404572,0.3931267947069544
MAYURUNIQ,0.13483451005406452,0.21936559150961338
MBLINFRA,-0.1390983826446286,0.3620544199556497
MCLEODRUSS,-0.22995393285528878,0.3265259863151955
MFSL,0.15291184766241697,0.27908586861350754
MHRIL,0.046469130678123145,0.22822311914543367
MINDACORP,0.1405584238177959,0.5572236471120594
MIRCELECTR,-0.021998813964087923,0.37907103697656064
MIRZAINT,0.2225800073759843,0.32161743349016025
MMFL,0.23489490065279414,0.2719251807519646
MMTC,-0.25729726646699247,0.3120376800552354
MOIL,-0.020890264884580647,0.20963910618686302
MORARJEE,0.005993013694688493,0.38175346244230796
MOREPENLAB,0.1269791851581998,0.36879345038508143
MOTHERSON,0.1390982886378574,0.2894686793207641
MOTILALOFS,0.12824485330795432,0.2603401195602693
MPSLTD,0.29144954028873093,0.276216929492508
MRPL,-0.00800575737946072,0.2946068332029478
MSPL,-0.164194474239712,0.3641472117966015
MTNL,-0.07337561767761451,0.3486501138531312
MUKANDLTD,0.09489560875674896,0.32496723385557685
MUKTAARTS,0.027949345886119616,0.36454514761810536
MUNJALAU,0.11336838109143728,0.28443412719783323
MUNJALSHOW,0.05251065772545946,0.24171124471791608
NAGAFERT,-0.09655572262374304,0.2828979021375985
NAGREEKEXP,0.01937085727254988,0.41121249825304834
NAHARINDUS,0.042445253882194806,0.33107742490802217
NAHARPOLY,0.18086946048639946,0.3644863996382164
NATCOPHARM,0.20089221166873011,0.2355974950585808
NATIONALUM,-0.031308325202906315,0.28455837930681027
NAVINFLUOR,0.37592878053041506,0.24075499558826713
NAVNETEDUL,0.04693054291512789,0.20032994865825593
NBCC,0.1443843227880368,0.2861904177206738
NDLVENTURE,-0.05060261532682385,0.5962034691188911
NDTV,0.09664478446874906,0.3381215505106657
NECLIFE,-0.030237523044950913,0.3548131023764152
NELCAST,0.1525298030769772,0.3175730173752554
NELCO,0.1760811733506446,0.32347114012272415
NESCO,0.14006968270277748,0.19622614712322173
NETWORK18,-0.09272702182840448,0.32624121676960555
NEULANDLAB,0.23410982960197046,0.3376989718778783
NFL,-0.033040078539274306,0.29912772988674236
NHPC,0.04638171079834774,0.2130056085903495
NIITLTD,0.1667928960587196,0.29154954202267097
NILKAMAL,0.15456796729504002,0.24437014665393586
NITCO,-0.10209437779645723,0.37394962053927416
NLCINDIA,-0.020973700414154542,0.24229339768895022
NOCIL,0.21389287612919092,0.28736291971856187
NOIDATOLL,-0.11569693031405269,0.29918981873592554
NRBBEARING,0.09500011497443511,0.27917872780757486
