Date,Classical,Quantum,Quantum_Rebalanced
2011-06-06,1.1391179510787655,1.1520057885386443,1.1520057885386443
2011-06-07,1.1416181040584794,1.1525871337666043,1.1525871337666043
2011-06-08,1.1419908111499468,1.1516078265252094,1.1516078265252094
2011-06-09,1.1420846820636268,1.1494516056280542,1.1494516056280542
2011-06-10,1.1470593685411696,1.1529093677143207,1.1529093677143207
2011-06-13,1.1485854588236994,1.1496512959244487,1.1496512959244487
2011-06-14,1.1628295010918004,1.1611825143804828,1.1611825143804828
2011-06-15,1.1712708838159982,1.1602535821572508,1.1602535821572508
2011-06-16,1.169851996600896,1.1647113137973428,1.1647113137973428
2011-06-17,1.1555030616690753,1.1569396607443365,1.1569396607443365
2011-06-20,1.1270308873166408,1.1345601513202324,1.1345601513202324
2011-06-21,1.1258485006078378,1.134929618664934,1.134929618664934
2011-06-22,1.1163010664947286,1.129303316195876,1.129303316195876
2011-06-23,1.1130797416804032,1.1253443955995381,1.1253443955995381
2011-06-24,1.1302864552650789,1.1415650020353887,1.1415650020353887
2011-06-27,1.1359435079887739,1.1471602024667156,1.1471602024667156
2011-06-28,1.1433697786109875,1.1539306274840957,1.1539306274840957
2011-06-29,1.1460492698810314,1.1574319514375535,1.1574319514375535
2011-06-30,1.1521209635009777,1.1628710883559925,1.1628710883559925
2011-07-01,1.154294875066906,1.1694251647272307,1.1694251647272307
2011-07-04,1.1563839627696662,1.1687717505589081,1.1687717505589081
2011-07-05,1.168249938195964,1.1755200630917055,1.1755200630917055
2011-07-06,1.1749186985092144,1.1838577588750065,1.1838577588750065
2011-07-07,1.1837687447894594,1.206336023962877,1.206336023962877
2011-07-08,1.1726873023133706,1.2015852778602572,1.2015852778602572
2011-07-11,1.1786861184884319,1.2051301438616322,1.2051301438616322
2011-07-12,1.1741887017686599,1.1985471459207382,1.1985471459207382
